,ID,Frase,Sentimento
0,1,Estou muito animado para começar o novo projeto no trabalho!,POS
1,2,Sinto-me frustrado porque o plano não saiu como esperado.,NEG
2,3,O relatório está pronto e foi enviado para revisão.,NEU
3,4,Foi ótimo ver todos os amigos na festa ontem à noite!,POS
4,5,O trânsito estava horrível e cheguei atrasado ao compromisso.,NEG
5,6,"Hoje o clima está nublado, mas não choveu.",NEU
6,7,Adorei o livro que você me recomendou; foi uma leitura incrível.,POS
7,8,"Não consegui resolver o problema com o computador, ainda está dando erros.",NEG
8,9,"A reunião foi marcada para as 14h, como de costume.",NEU
9,10,Estou muito grato pelo apoio que recebi durante este período difícil.,POS
10,11,Estou empolgado para a reunião de amanhã; acho que será produtiva!,POS
11,12,Estou frustrado com a falta de comunicação da equipe.,NEG
12,13,A revisão do projeto está em andamento e deve ser concluída esta semana.,NEU
13,14,"Foi um prazer almoçar com você hoje, a conversa foi muito agradável.",POS
14,15,Eu estava preso no trânsito por mais de uma hora e agora estou exausto.,NEG
15,16,"Apesar do mau tempo, consegui fazer a caminhada de manhã.",POS
16,17,Acabei de terminar um curso online e foi extremamente útil.,POS
17,18,Estou tendo problemas para acessar os arquivos no meu computador novamente.,NEU
18,19,"A apresentação foi agendada para segunda-feira, como planejado.",NEU
19,20,Estou satisfeito com o progresso que fizemos no último mês.,POS
20,21,Eu não gostei muito do filme que assisti ontem à noite.,NEG
21,22,Os documentos foram entregues e agora estão em revisão.,NEU
22,23,Foi incrível ver o crescimento da empresa este ano.,POS
23,24,Estou irritado com as constantes quedas de energia na região.,NEG
24,25,A conferência foi bem organizada e proveitosa.,POS
25,26,Hoje o dia foi tranquilo e produtivo no escritório.,POS
26,27,Fiquei impressionado com a qualidade do serviço ao cliente.,POS
